2025-02-02 16:46:29 - PM: 10.03 MB, WS: 16.61 MB
2025-02-02 16:47:07 - PM: 9.95 MB, WS: 16.95 MB
2025-02-02 16:47:08 - PM: 9.95 MB, WS: 16.95 MB
2025-02-02 16:47:09 - PM: 9.95 MB, WS: 16.95 MB
2025-02-02 16:47:10 - PM: 9.95 MB, WS: 16.95 MB
2025-02-02 16:47:12 - PM: 9.95 MB, WS: 16.95 MB
2025-02-02 16:47:13 - PM: 9.95 MB, WS: 16.95 MB
2025-02-02 16:47:14 - PM: 9.95 MB, WS: 16.95 MB
2025-02-02 16:47:15 - PM: 9.95 MB, WS: 16.95 MB
2025-02-02 16:47:17 - PM: 9.95 MB, WS: 16.95 MB
2025-02-02 16:47:18 - PM: 9.95 MB, WS: 16.95 MB
2025-02-02 16:47:19 - PM: 9.95 MB, WS: 16.95 MB
2025-02-02 16:47:20 - PM: 9.95 MB, WS: 16.95 MB
2025-02-02 16:47:21 - PM: 9.95 MB, WS: 16.95 MB
2025-02-02 16:47:23 - PM: 9.95 MB, WS: 16.95 MB
2025-02-02 16:47:24 - PM: 9.95 MB, WS: 16.95 MB
2025-02-02 16:47:25 - PM: 9.95 MB, WS: 16.95 MB
2025-02-02 16:47:26 - PM: 9.95 MB, WS: 16.95 MB
2025-02-02 16:47:27 - PM: 9.95 MB, WS: 16.95 MB
2025-02-02 16:47:29 - PM: 9.95 MB, WS: 16.95 MB
2025-02-02 16:47:30 - PM: 10.6 MB, WS: 17.41 MB
2025-02-02 16:47:31 - PM: 10.6 MB, WS: 17.55 MB
2025-02-02 16:47:33 - PM: 10.6 MB, WS: 17.67 MB
2025-02-02 16:47:34 - PM: 10.6 MB, WS: 17.72 MB
2025-02-02 16:47:35 - PM: 10.6 MB, WS: 17.79 MB
2025-02-02 16:47:36 - PM: 10.6 MB, WS: 17.8 MB
2025-02-02 16:47:38 - PM: 10.6 MB, WS: 17.82 MB
2025-02-02 16:47:39 - PM: 10.6 MB, WS: 17.85 MB
2025-02-02 16:47:40 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:47:41 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:47:43 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:47:44 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:47:45 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:47:46 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:47:48 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:47:49 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:47:50 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:47:52 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:47:53 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:47:54 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:47:55 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:47:57 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:47:58 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:47:59 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:48:01 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:48:02 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:48:04 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:48:05 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:48:06 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:48:08 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:48:09 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:48:11 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:48:12 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:48:13 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:48:15 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:48:16 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:48:17 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:48:18 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:48:20 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:48:21 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:48:23 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:48:24 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:48:25 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:48:26 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:48:28 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:48:29 - PM: 10.6 MB, WS: 17.87 MB
2025-02-02 16:48:30 - PM: 10.99 MB, WS: 17.73 MB
2025-02-02 16:48:31 - PM: 10.99 MB, WS: 17.91 MB
2025-02-02 16:48:32 - PM: 10.99 MB, WS: 18.02 MB
2025-02-02 16:48:34 - PM: 10.99 MB, WS: 18.11 MB
2025-02-02 16:48:35 - PM: 10.99 MB, WS: 18.18 MB
2025-02-02 16:48:36 - PM: 10.99 MB, WS: 18.19 MB
2025-02-02 16:48:37 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:48:38 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:48:40 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:48:41 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:48:42 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:48:43 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:48:44 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:48:46 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:48:47 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:48:48 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:48:50 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:48:51 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:48:52 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:48:53 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:48:54 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:48:56 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:48:57 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:48:58 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:49:00 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:49:01 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:49:02 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:49:03 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:49:04 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:49:06 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:49:07 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:49:08 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:49:10 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:49:11 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:49:12 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:49:13 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:49:15 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:49:16 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:49:17 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:49:19 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:49:20 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:49:21 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:49:22 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:49:23 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:49:25 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:49:26 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:49:27 - PM: 10.99 MB, WS: 18.2 MB
2025-02-02 16:49:29 - PM: 10.99 MB, WS: 18.2 MB
